date,hour,solar_mw
2020-08-03,0:00,11385
2020-08-02,23:00,12390
2020-08-02,22:00,13312
2020-08-02,21:00,13832
2020-08-02,20:00,14038
2020-08-02,19:00,14453
2020-08-02,18:00,14898
2020-08-02,17:00,14924
2020-08-02,16:00,14791
2020-08-02,15:00,14941
2020-08-02,14:00,15244
2020-08-02,13:00,15191
2020-08-02,12:00,14666
2020-08-02,11:00,13966
2020-08-02,10:00,13232
2020-08-02,9:00,12555
2020-08-02,8:00,11850
2020-08-02,7:00,11181
2020-08-02,6:00,10490
2020-08-02,5:00,10058
2020-08-02,4:00,10082
2020-08-02,3:00,10353
2020-08-02,2:00,10830
2020-08-02,1:00,11457
2020-08-02,0:00,12362
2020-08-01,23:00,13569
2020-08-01,22:00,14687
2020-08-01,21:00,15461
2020-08-01,20:00,15973
2020-08-01,19:00,16638
2020-08-01,18:00,17131
2020-08-01,17:00,17208
2020-08-01,16:00,16713
2020-08-01,15:00,16345
2020-08-01,14:00,15987
2020-08-01,13:00,15360
2020-08-01,12:00,14639
2020-08-01,11:00,13973
2020-08-01,10:00,13080
2020-08-01,9:00,12453
2020-08-01,8:00,11840
2020-08-01,7:00,11177
2020-08-01,6:00,10530
2020-08-01,5:00,10033
2020-08-01,4:00,9944
2020-08-01,3:00,10115
2020-08-01,2:00,10398
2020-08-01,1:00,10947
2020-08-01,0:00,11712
2020-07-31,23:00,12787
2020-07-31,22:00,13766
2020-07-31,21:00,14340
2020-07-31,20:00,14647
2020-07-31,19:00,15128
2020-07-31,18:00,15293
2020-07-31,17:00,15142
2020-07-31,16:00,14794
2020-07-31,15:00,14226
2020-07-31,14:00,13756
2020-07-31,13:00,13230
2020-07-31,12:00,12903
2020-07-31,11:00,12499
2020-07-31,10:00,12053
2020-07-31,9:00,11588
2020-07-31,8:00,11099
2020-07-31,7:00,10431
2020-07-31,6:00,9762
2020-07-31,5:00,9247
2020-07-31,4:00,9132
2020-07-31,3:00,9211
2020-07-31,2:00,9465
2020-07-31,1:00,9846
2020-07-31,0:00,10543
2020-07-30,23:00,11452
2020-07-30,22:00,12309
2020-07-30,21:00,12674
2020-07-30,20:00,12701
2020-07-30,19:00,12953
2020-07-30,18:00,13173
2020-07-30,17:00,13092
2020-07-30,16:00,13123
2020-07-30,15:00,13223
2020-07-30,14:00,13201
2020-07-30,13:00,12961
2020-07-30,12:00,12654
2020-07-30,11:00,12407
2020-07-30,10:00,12018
2020-07-30,9:00,11770
2020-07-30,8:00,11226
2020-07-30,7:00,10650
2020-07-30,6:00,9976
2020-07-30,5:00,9562
2020-07-30,4:00,9401
2020-07-30,3:00,9522
2020-07-30,2:00,9854
2020-07-30,1:00,10446
2020-07-30,0:00,11377
2020-07-29,23:00,12448
2020-07-29,22:00,13441
2020-07-29,21:00,13967
2020-07-29,20:00,14450
2020-07-29,19:00,14972
2020-07-29,18:00,15128
2020-07-29,17:00,14965
2020-07-29,16:00,14669
2020-07-29,15:00,14242
2020-07-29,14:00,13781
2020-07-29,13:00,13174
2020-07-29,12:00,12528
2020-07-29,11:00,11770
2020-07-29,10:00,10947
2020-07-29,9:00,10147
2020-07-29,8:00,9334
2020-07-29,7:00,8967
2020-07-29,6:00,8937
2020-07-29,5:00,8944
2020-07-29,4:00,9117
2020-07-29,3:00,9471
2020-07-29,2:00,9832
2020-07-29,1:00,10495
2020-07-29,0:00,11360
2020-07-28,23:00,12377
2020-07-28,22:00,13331
2020-07-28,21:00,13895
2020-07-28,20:00,14408
2020-07-28,19:00,14960
2020-07-28,18:00,15194
